Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2023-01-04,"2,550.50","2,558.40","2,527.05","2,542.05","2,532.50","2,536.10","2,537.48","2,741.60","1,901.55",1672649,"4,24,43,14,736.40",73625
2023-01-03,"2,550.05","2,562.00","2,535.00","2,558.40","2,543.50","2,542.05","2,546.07","2,741.60","1,901.55",821843,"2,09,24,73,388.50",60502
2023-01-02,"2,573.90","2,580.05","2,538.05","2,561.05","2,556.25","2,558.40","2,555.10","2,741.60","1,901.55",681703,"1,74,18,16,989.15",48706
2022-12-30,"2,579.95","2,586.45","2,555.20","2,568.05","2,564.00","2,561.05","2,567.79","2,741.60","1,901.55",696432,"1,78,82,93,739.00",55969
2022-12-29,"2,580.25","2,583.30","2,539.40","2,583.60","2,581.00","2,568.05","2,556.06","2,741.60","1,901.55",1345863,"3,44,01,06,284.65",82377
2022-12-28,"2,593.00","2,603.10","2,578.10","2,593.25","2,584.90","2,583.60","2,585.38","2,741.60","1,901.55",822651,"2,12,68,62,654.75",44625
2022-12-27,"2,625.00","2,634.90","2,575.25","2,617.45","2,593.00","2,593.25","2,595.57","2,741.60","1,901.55",870960,"2,26,06,37,492.85",62058
2022-12-26,"2,620.95","2,637.85","2,606.75","2,621.10","2,617.55","2,617.45","2,623.58","2,741.60","1,901.55",605144,"1,58,76,43,203.35",52875
2022-12-23,"2,632.00","2,649.55","2,608.05","2,645.35","2,630.85","2,621.10","2,625.72","2,741.60","1,901.55",1189702,"3,12,38,25,737.45",73994
2022-12-22,"2,676.50","2,688.50","2,642.00","2,666.20","2,642.00","2,645.35","2,657.23","2,741.60","1,901.55",852567,"2,26,54,63,357.05",58992
2022-12-21,"2,687.95","2,695.15","2,650.10","2,674.55","2,667.35","2,666.20","2,664.88","2,741.60","1,901.55",779092,"2,07,61,87,881.00",64412
2022-12-20,"2,706.00","2,706.05","2,653.25","2,718.10","2,675.00","2,674.55","2,670.02","2,741.60","1,901.55",827567,"2,20,96,22,969.50",60040
2022-12-19,"2,671.30","2,720.00","2,671.30","2,671.30","2,713.20","2,718.10","2,704.60","2,741.60","1,901.55",1546941,"4,18,38,50,715.80",111844
2022-12-16,"2,668.00","2,687.70","2,653.30","2,663.25","2,674.00","2,671.30","2,669.45","2,741.60","1,901.55",1793864,"4,78,86,25,001.15",87208
2022-12-15,"2,668.35","2,683.25","2,648.45","2,684.65","2,655.70","2,663.25","2,660.55","2,741.60","1,901.55",990722,"2,63,58,67,590.80",69104
2022-12-14,"2,720.00","2,720.00","2,671.35","2,710.30","2,687.00","2,684.65","2,691.78","2,741.60","1,901.55",886858,"2,38,72,30,176.95",66543
2022-12-13,"2,717.00","2,720.00","2,697.80","2,717.25","2,709.40","2,710.30","2,711.07","2,741.60","1,901.55",1265839,"3,43,17,80,253.65",76874
2022-12-12,"2,702.20","2,724.00","2,688.65","2,722.25","2,714.00","2,717.25","2,708.92","2,741.60","1,901.55",1163204,"3,15,10,23,205.80",68500
2022-12-09,"2,724.70","2,741.60","2,711.25","2,705.45","2,717.40","2,722.25","2,724.87","2,741.60","1,901.55",1883397,"5,13,20,06,129.90",111858
2022-12-08,"2,695.05","2,711.05","2,685.75","2,707.35","2,700.00","2,705.45","2,698.86","2,734.00","1,901.55",1314703,"3,54,82,00,320.50",87379
2022-12-07,"2,660.05","2,719.80","2,656.25","2,654.55","2,707.00","2,707.35","2,692.69","2,734.00","1,901.55",2368561,"6,37,78,09,934.70",116783
2022-12-06,"2,606.80","2,659.95","2,603.85","2,619.85","2,658.00","2,654.55","2,644.91","2,734.00","1,901.55",1484562,"3,92,65,37,500.55",84448
2022-12-05,"2,600.00","2,625.00","2,585.15","2,615.10","2,620.00","2,619.85","2,609.42","2,734.00","1,901.55",1640511,"4,28,07,86,011.95",78675
2022-12-02,"2,660.00","2,660.00","2,607.15","2,662.85","2,620.00","2,615.10","2,621.52","2,734.00","1,901.55",2101890,"5,51,01,50,954.20",109649
2022-12-01,"2,680.00","2,683.00","2,646.85","2,684.35","2,664.00","2,662.85","2,656.55","2,734.00","1,901.55",1675569,"4,45,12,36,347.10",78427
2022-11-30,"2,634.00","2,698.00","2,623.00","2,634.20","2,685.00","2,684.35","2,665.91","2,734.00","1,901.55",3698270,"9,85,92,58,303.50",137173
2022-11-29,"2,527.20","2,639.95","2,527.20","2,525.20","2,635.95","2,634.20","2,607.11","2,734.00","1,901.55",2542932,"6,62,97,00,480.75",135358
2022-11-28,"2,527.00","2,542.50","2,521.80","2,537.45","2,526.00","2,525.20","2,527.43","2,734.00","1,901.55",830905,"2,10,00,51,724.65",49281
2022-11-25,"2,555.00","2,555.40","2,518.20","2,549.15","2,536.45","2,537.45","2,528.51","2,734.00","1,901.55",783480,"1,98,10,34,732.75",58315
2022-11-24,"2,517.00","2,560.00","2,511.15","2,507.35","2,555.10","2,549.15","2,538.87","2,734.00","1,901.55",999929,"2,53,86,93,635.80",54328
2022-11-23,"2,521.00","2,525.00","2,502.00","2,515.70","2,507.00","2,507.35","2,513.30","2,734.00","1,901.55",734152,"1,84,51,47,396.80",45579
2022-11-22,"2,505.90","2,524.00","2,497.00","2,501.40","2,511.00","2,515.70","2,515.39","2,734.00","1,901.55",921265,"2,31,73,44,264.75",59904
2022-11-21,"2,483.70","2,512.00","2,470.05","2,483.70","2,502.10","2,501.40","2,499.11","2,734.00","1,901.55",1354881,"3,38,60,01,389.85",90313
2022-11-18,"2,470.00","2,488.55","2,448.85","2,460.00","2,481.00","2,483.70","2,466.62","2,734.00","1,901.55",1075675,"2,65,32,82,044.40",51010
2022-11-17,"2,479.95","2,498.00","2,454.25","2,477.85","2,458.55","2,460.00","2,473.31","2,734.00","1,901.55",960476,"2,37,55,53,732.95",50548
2022-11-16,"2,463.55","2,483.00","2,428.10","2,457.50","2,480.00","2,477.85","2,450.61","2,734.00","1,901.55",1330395,"3,26,02,80,428.40",75684
2022-11-15,"2,457.80","2,469.00","2,444.15","2,457.80","2,455.00","2,457.50","2,455.26","2,734.00","1,901.55",1558333,"3,82,61,15,151.60",72335
2022-11-14,"2,506.80","2,513.75","2,455.15","2,503.05","2,458.00","2,457.80","2,469.17","2,734.00","1,901.55",2137131,"5,27,69,32,460.10",103165
2022-11-11,"2,545.00","2,546.80","2,495.00","2,513.60","2,506.75","2,503.05","2,511.78","2,734.00","1,901.55",1162847,"2,92,08,10,553.50",74423
2022-11-10,"2,504.00","2,538.00","2,501.05","2,508.80","2,515.40","2,513.60","2,517.53","2,734.00","1,901.55",1459152,"3,67,34,63,743.70",53291
2022-11-09,"2,510.00","2,544.90","2,492.65","2,532.80","2,493.90","2,508.80","2,517.05","2,734.00","1,901.55",1436444,"3,61,56,04,930.25",81720
2022-11-07,"2,531.10","2,552.00","2,517.00","2,520.35","2,530.00","2,532.80","2,529.27","2,734.00","1,901.55",1283685,"3,24,67,81,345.85",60564
2022-11-04,"2,544.95","2,546.00","2,515.25","2,546.35","2,520.00","2,520.35","2,523.15","2,734.00","1,901.55",889055,"2,24,32,18,864.55",52593
2022-11-03,"2,515.70","2,549.00","2,508.30","2,518.30","2,544.00","2,546.35","2,534.43","2,734.00","1,901.55",730444,"1,85,12,61,425.20",54731
2022-11-02,"2,564.00","2,564.00","2,501.40","2,551.80","2,520.00","2,518.30","2,520.36","2,734.00","1,901.55",1338284,"3,37,29,64,059.50",79352
2022-11-01,"2,569.00","2,575.85","2,547.60","2,550.70","2,548.00","2,551.80","2,561.07","2,734.00","1,901.55",1280132,"3,27,85,09,035.70",77333
2022-10-31,"2,545.00","2,572.00","2,542.05","2,524.25","2,558.20","2,550.70","2,554.37","2,734.00","1,901.55",1324443,"3,38,31,21,519.80",67992
2022-10-28,"2,526.10","2,550.90","2,512.00","2,519.00","2,526.40","2,524.25","2,528.96","2,734.00","1,901.55",1164951,"2,94,61,12,857.30",72586
2022-10-27,"2,494.00","2,530.00","2,488.00","2,505.40","2,522.25","2,519.00","2,507.75","2,734.00","1,901.55",1846329,"4,63,01,40,704.80",96885
2022-10-25,"2,586.00","2,586.00","2,500.00","2,573.10","2,504.00","2,505.40","2,521.62","2,734.00","1,901.55",2923789,"7,37,26,74,305.75",132117
2022-10-24,"2,610.10","2,640.00","2,550.00","2,653.90","2,574.25","2,573.10","2,579.63","2,734.00","1,901.55",719908,"1,85,70,97,394.55",46255
2022-10-21,"2,606.00","2,666.75","2,606.00","2,600.90","2,652.60","2,653.90","2,646.98","2,734.00","1,901.55",2458302,"6,50,70,80,253.45",81292
2022-10-20,"2,568.15","2,610.00","2,568.15","2,583.00","2,593.90","2,600.90","2,599.53","2,734.00","1,901.55",1428125,"3,71,24,54,289.25",71501
2022-10-19,"2,615.30","2,617.50","2,578.40","2,602.25","2,582.25","2,583.00","2,592.84","2,734.00","1,901.55",1241979,"3,22,02,53,132.80",65376
2022-10-18,"2,620.00","2,642.00","2,597.00","2,590.55","2,605.00","2,602.25","2,616.71","2,734.00","1,901.55",1123374,"2,93,95,38,698.80",85389
2022-10-17,"2,573.60","2,609.95","2,568.00","2,575.80","2,588.00","2,590.55","2,594.17","2,734.00","1,901.55",778918,"2,02,06,44,476.75",86643
2022-10-14,"2,590.00","2,624.90","2,570.20","2,566.40","2,573.60","2,575.80","2,596.77","2,734.00","1,901.55",1001536,"2,60,07,58,616.80",75953
2022-10-13,"2,583.00","2,607.15","2,562.90","2,591.35","2,567.00","2,566.40","2,577.19","2,734.00","1,901.55",753331,"1,94,14,79,207.40",53085
2022-10-12,"2,563.45","2,604.60","2,554.20","2,550.65","2,592.00","2,591.35","2,582.55","2,734.00","1,901.55",882873,"2,28,00,60,418.50",65605
2022-10-11,"2,610.00","2,610.55","2,545.00","2,605.60","2,550.95","2,550.65","2,569.24","2,734.00","1,901.55",1129783,"2,90,26,85,105.05",95198
2022-10-10,"2,570.00","2,610.70","2,542.00","2,599.70","2,603.75","2,605.60","2,578.82","2,734.00","1,901.55",1043728,"2,69,15,86,368.35",77421
2022-10-07,"2,611.90","2,613.00","2,575.00","2,614.00","2,595.00","2,599.70","2,596.29","2,734.00","1,901.55",1025923,"2,66,35,91,862.20",81702
2022-10-06,"2,681.30","2,692.30","2,605.05","2,667.95","2,612.00","2,614.00","2,630.12","2,734.00","1,901.55",1752351,"4,60,88,98,271.90",157969
2022-10-04,"2,650.00","2,676.50","2,634.15","2,622.50","2,664.80","2,667.95","2,659.66","2,734.00","1,901.55",1327939,"3,53,18,61,042.45",89227
2022-10-03,"2,723.00","2,734.00","2,617.55","2,696.45","2,621.90","2,622.50","2,659.82","2,734.00","1,901.55",1683197,"4,47,69,93,009.00",82515
2022-09-30,"2,707.00","2,714.90","2,667.90","2,700.55","2,700.00","2,696.45","2,688.68","2,765.00","1,901.55",1340054,"3,60,29,74,173.55",80019
2022-09-29,"2,711.10","2,727.00","2,691.10","2,702.10","2,705.40","2,700.55","2,705.82","2,765.00","1,901.55",2019666,"5,46,48,56,911.15",126127
2022-09-28,"2,669.95","2,708.75","2,652.05","2,679.25","2,700.00","2,702.10","2,692.61","2,765.00","1,901.55",1526197,"4,10,94,49,195.65",90711
2022-09-27,"2,676.00","2,713.75","2,653.40","2,660.55","2,680.00","2,679.25","2,691.02","2,765.00","1,901.55",1898501,"5,10,89,00,911.10",126525
2022-09-26,"2,668.50","2,729.00","2,643.05","2,682.05","2,668.90","2,660.55","2,683.89","2,765.00","1,901.55",2678551,"7,18,89,27,553.25",152903
2022-09-23,"2,697.90","2,723.75","2,674.00","2,692.75","2,678.60","2,682.05","2,696.16","2,859.30","1,901.55",1789791,"4,82,55,57,909.85",96793
2022-09-22,"2,623.10","2,701.25","2,620.05","2,623.60","2,692.60","2,692.75","2,668.86","2,859.30","1,901.55",2620240,"6,99,30,49,321.70",111283
2022-09-21,"2,582.00","2,646.75","2,580.00","2,583.55","2,622.50","2,623.60","2,626.79","2,859.30","1,901.55",1960049,"5,14,86,41,738.25",106980
2022-09-20,"2,598.60","2,621.50","2,579.60","2,579.25","2,581.85","2,583.55","2,599.98","2,859.30","1,901.55",1253333,"3,25,86,45,769.90",60825
2022-09-19,"2,531.00","2,588.00","2,508.05","2,528.15","2,580.00","2,579.25","2,553.88","2,859.30","1,901.55",1166725,"2,97,96,75,524.15",73590
2022-09-16,"2,555.00","2,563.85","2,518.65","2,560.40","2,531.00","2,528.15","2,534.81","2,859.30","1,901.55",2516820,"6,37,96,69,116.65",84270
2022-09-15,"2,580.00","2,598.80","2,551.00","2,571.40","2,562.00","2,560.40","2,566.37","2,859.30","1,901.55",1199906,"3,07,94,03,260.40",84985
2022-09-14,"2,550.00","2,606.00","2,546.70","2,586.60","2,571.05","2,571.40","2,584.94","2,859.30","1,901.55",1610054,"4,16,18,88,877.55",103523
2022-09-13,"2,598.00","2,609.00","2,579.00","2,580.40","2,585.00","2,586.60","2,591.35","2,859.30","1,901.55",1342130,"3,47,79,25,373.20",79979
2022-09-12,"2,591.00","2,605.00","2,574.00","2,588.70","2,577.25","2,580.40","2,586.27","2,859.30","1,901.55",1595709,"4,12,69,41,051.50",51791
2022-09-09,"2,598.00","2,647.00","2,583.45","2,577.15","2,587.00","2,588.70","2,612.32","2,859.30","1,901.55",1785443,"4,66,41,50,468.55",91908
2022-09-08,"2,580.00","2,596.00","2,563.00","2,564.60","2,585.00","2,577.15","2,576.96","2,859.30","1,901.55",1004533,"2,58,86,40,668.65",40331
2022-09-07,"2,571.80","2,596.90","2,560.80","2,573.10","2,569.00","2,564.60","2,571.90","2,859.30","1,901.55",1344964,"3,45,91,18,947.55",63701
2022-09-06,"2,591.20","2,620.00","2,563.00","2,600.60","2,574.70","2,573.10","2,579.40","2,859.30","1,901.55",1250776,"3,22,62,45,394.00",55573
2022-09-05,"2,597.00","2,622.40","2,586.10","2,603.60","2,598.00","2,600.60","2,602.43","2,859.30","1,901.55",1274074,"3,31,56,91,964.30",61820
2022-09-02,"2,615.00","2,623.00","2,585.00","2,606.00","2,600.00","2,603.60","2,599.09","2,859.30","1,901.55",937600,"2,43,69,06,967.45",56368
2022-09-01,"2,650.00","2,655.00","2,594.00","2,659.85","2,614.45","2,606.00","2,612.02","2,859.30","1,901.55",1702269,"4,44,63,61,898.65",99540
2022-08-30,"2,588.70","2,667.00","2,585.60","2,575.80","2,662.00","2,659.85","2,638.09","2,859.30","1,901.55",2227943,"5,87,75,18,114.90",90326
2022-08-29,"2,550.00","2,607.90","2,550.00","2,571.55","2,582.00","2,575.80","2,583.04","2,859.30","1,901.55",1450034,"3,74,54,97,793.25",93329
2022-08-26,"2,599.90","2,614.70","2,562.00","2,574.20","2,574.00","2,571.55","2,580.52","2,859.30","1,901.55",1048791,"2,70,64,25,502.60",63000
2022-08-25,"2,601.20","2,628.40","2,565.45","2,588.25","2,575.05","2,574.20","2,602.40","2,859.30","1,901.55",1106593,"2,87,97,95,236.45",68171
