Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,VOLUME ,VALUE ,No of trades 
28-Dec-2022,"2,502.80","2,596.00","2,497.50","2,503.55","2,575.00","2,580.15","2,571.24",2443430,6282656899,128671
27-Dec-2022,"2,498.00","2,519.90","2,485.60","2,481.10","2,502.90","2,503.55","2,504.74",791283,1981957666,37709
26-Dec-2022,"2,487.75","2,512.40","2,470.25","2,483.05","2,489.95","2,481.10","2,494.50",1076808,2686093374,76245
23-Dec-2022,"2,467.65","2,505.00","2,455.00","2,483.00","2,488.00","2,483.05","2,483.69",1310439,3254725804,76240
22-Dec-2022,"2,491.80","2,509.20","2,465.00","2,489.60","2,480.25","2,483.00","2,482.44",557608,1384230242,49834
21-Dec-2022,"2,515.00","2,528.00","2,481.00","2,508.15","2,490.00","2,489.60","2,499.85",519326,1298237549,48020
20-Dec-2022,"2,516.80","2,517.60","2,482.10","2,521.80","2,511.20","2,508.15","2,498.93",597902,1494112883,52173
19-Dec-2022,"2,483.20","2,525.25","2,468.70","2,482.85","2,520.25","2,521.80","2,501.35",572224,1431332715,45426
16-Dec-2022,"2,500.00","2,520.00","2,480.00","2,522.70","2,485.00","2,482.85","2,496.60",1177053,2938626055,87870
15-Dec-2022,"2,585.00","2,588.65","2,514.55","2,591.10","2,520.50","2,522.70","2,543.96",1225728,3118197322,90387
14-Dec-2022,"2,574.85","2,596.00","2,571.15","2,575.90","2,592.00","2,591.10","2,587.82",767737,1986763144,58899
13-Dec-2022,"2,597.40","2,600.00","2,565.00","2,584.65","2,572.40","2,575.90","2,575.55",832740,2144767349,63045
12-Dec-2022,"2,613.50","2,613.50","2,571.00","2,615.45","2,584.90","2,584.65","2,584.78",726330,1877403541,54545
9-Dec-2022,"2,597.00","2,629.90","2,567.95","2,583.50","2,609.25","2,615.45","2,597.13",935047,2428437037,86754
8-Dec-2022,"2,596.85","2,613.90","2,578.75","2,596.85","2,581.95","2,583.50","2,592.41",648288,1680628428,51291
7-Dec-2022,"2,616.30","2,623.75","2,586.70","2,617.00","2,594.50","2,596.85","2,601.46",712914,1854619364,64275
6-Dec-2022,"2,619.80","2,624.00","2,591.30","2,615.65","2,611.10","2,617.00","2,604.15",706596,1840079251,65847
5-Dec-2022,"2,629.00","2,629.95","2,589.25","2,617.90","2,614.80","2,615.65","2,607.85",747114,1948360015,60334
2-Dec-2022,"2,648.00","2,651.40","2,605.00","2,638.70","2,618.00","2,617.90","2,617.68",731396,1914562013,55462
1-Dec-2022,"2,662.00","2,665.00","2,630.00","2,653.00","2,636.95","2,638.70","2,642.90",539844,1426752820,40659
30-Nov-2022,"2,613.75","2,665.00","2,604.20","2,613.75","2,657.25","2,653.00","2,641.21",1569918,4146488239,68190
29-Nov-2022,"2,597.15","2,640.00","2,595.05","2,592.25","2,612.00","2,613.75","2,621.71",866621,2272030538,64382
28-Nov-2022,"2,584.40","2,608.50","2,579.00","2,595.40","2,592.00","2,592.25","2,596.53",665149,1727080240,46811
25-Nov-2022,"2,620.00","2,620.00","2,586.00","2,610.20","2,591.25","2,595.40","2,596.47",633047,1643688452,45799
24-Nov-2022,"2,611.00","2,618.30","2,592.50","2,601.75","2,613.85","2,610.20","2,604.98",752066,1959114455,46121
23-Nov-2022,"2,614.95","2,632.50","2,590.80","2,606.20","2,591.60","2,601.75","2,617.17",992873,2598516281,59217
22-Nov-2022,"2,580.00","2,609.00","2,561.00","2,573.35","2,607.50","2,606.20","2,594.84",912070,2366678029,58060
21-Nov-2022,"2,552.00","2,578.95","2,539.65","2,565.80","2,572.00","2,573.35","2,560.52",629040,1610667512,44737
18-Nov-2022,"2,580.00","2,583.40","2,545.00","2,582.00","2,572.95","2,565.80","2,560.49",1038751,2659708145,99791
17-Nov-2022,"2,638.00","2,645.00","2,576.00","2,644.30","2,583.95","2,582.00","2,592.35",1265647,3281002988,69687
16-Nov-2022,"2,659.00","2,678.20","2,630.00","2,656.65","2,645.00","2,644.30","2,647.95",835064,2211207464,51298
15-Nov-2022,"2,642.95","2,669.15","2,621.05","2,629.80","2,658.45","2,656.65","2,651.10",1033296,2739369342,46529
14-Nov-2022,"2,658.00","2,665.00","2,623.20","2,651.80","2,630.00","2,629.80","2,636.54",565428,1490774742,35519
11-Nov-2022,"2,671.00","2,694.40","2,641.55","2,641.00","2,656.00","2,651.80","2,665.95",833729,2222679757,59931
10-Nov-2022,"2,710.00","2,711.10","2,628.00","2,718.10","2,647.50","2,641.00","2,653.00",1198585,3179847416,74667
9-Nov-2022,"2,769.00","2,769.00","2,710.00","2,741.55","2,710.35","2,718.10","2,728.57",1184702,3232540242,50665
7-Nov-2022,"2,772.00","2,772.00","2,706.30","2,769.70","2,735.00","2,741.55","2,734.38",1825529,4991687717,95712
4-Nov-2022,"2,774.90","2,781.45","2,746.60","2,763.65","2,770.00","2,769.70","2,759.62",1172058,3234432965,47413
3-Nov-2022,"2,705.00","2,779.00","2,705.00","2,728.45","2,766.60","2,763.65","2,753.10",1227960,3380701836,54594
2-Nov-2022,"2,745.00","2,747.35","2,703.00","2,754.95","2,734.00","2,728.45","2,723.97",1704942,4644216430,57000
1-Nov-2022,"2,770.15","2,784.00","2,741.00","2,761.50","2,755.00","2,754.95","2,756.46",890107,2453544062,48451
31-Oct-2022,"2,750.00","2,791.00","2,738.25","2,736.40","2,765.00","2,761.50","2,761.11",1144647,3160496134,66626
28-Oct-2022,"2,708.95","2,738.90","2,693.25","2,703.80","2,733.00","2,736.40","2,722.82",1003160,2731421674,62946
27-Oct-2022,"2,700.00","2,765.00","2,680.00","2,670.30","2,706.00","2,703.80","2,720.73",2117791,5761942289,101391
25-Oct-2022,"2,697.35","2,697.35","2,662.00","2,683.90","2,669.55","2,670.30","2,674.07",505759,1352434594,37515
24-Oct-2022,"2,697.00","2,699.90","2,679.15","2,665.65","2,682.00","2,683.90","2,687.26",184595,496055391.3,19559
21-Oct-2022,"2,650.00","2,679.65","2,640.05","2,631.50","2,670.65","2,665.65","2,666.35",986521,2630411601,50897
20-Oct-2022,"2,640.00","2,644.00","2,581.35","2,644.55","2,633.00","2,631.50","2,613.06",1022636,2672209506,69521
19-Oct-2022,"2,654.35","2,677.00","2,640.00","2,641.10","2,648.00","2,644.55","2,658.87",1001916,2663964218,50371
18-Oct-2022,"2,638.15","2,664.70","2,623.15","2,625.00","2,642.00","2,641.10","2,642.32",771852,2039477767,40599
17-Oct-2022,"2,613.90","2,634.90","2,602.55","2,617.80","2,624.80","2,625.00","2,623.11",1111199,2914802446,54989
14-Oct-2022,"2,640.00","2,663.60","2,607.75","2,598.65","2,619.85","2,617.80","2,638.85",1326916,3501527733,66301
13-Oct-2022,"2,610.00","2,628.00","2,591.00","2,621.35","2,598.00","2,598.65","2,603.92",1038687,2704655438,41122
12-Oct-2022,"2,630.00","2,644.90","2,606.00","2,624.50","2,619.00","2,621.35","2,623.26",1131702,2968744543,62764
11-Oct-2022,"2,693.00","2,694.00","2,616.40","2,680.10","2,621.00","2,624.50","2,642.51",1067626,2821208990,74108
10-Oct-2022,"2,710.00","2,727.90","2,658.00","2,730.50","2,683.95","2,680.10","2,699.33",1290447,3483346218,75217
7-Oct-2022,"2,690.00","2,745.00","2,675.00","2,592.85","2,730.20","2,730.50","2,721.12",5284814,14380608250,199594
6-Oct-2022,"2,598.05","2,620.00","2,581.60","2,585.10","2,588.00","2,592.85","2,601.79",1409852,3668138280,142313
4-Oct-2022,"2,629.00","2,629.00","2,571.65","2,574.20","2,579.00","2,585.10","2,590.07",1291070,3343967110,107630
3-Oct-2022,"2,625.00","2,625.00","2,555.60","2,606.95","2,577.30","2,574.20","2,580.15",1049142,2706942960,77964
30-Sep-2022,"2,538.00","2,637.40","2,522.60","2,531.50","2,605.50","2,606.95","2,590.42",1453944,3766321230,96727
29-Sep-2022,"2,594.85","2,606.05","2,517.35","2,576.95","2,538.00","2,531.50","2,550.15",1177076,3001724451,77272
28-Sep-2022,"2,587.50","2,634.50","2,564.50","2,600.35","2,571.95","2,576.95","2,590.74",1419969,3678767434,69488
27-Sep-2022,"2,669.95","2,679.55","2,585.55","2,655.50","2,604.90","2,600.35","2,620.00",1246270,3265224760,86043
26-Sep-2022,"2,666.00","2,677.95","2,563.55","2,672.45","2,654.00","2,655.50","2,633.10",1371409,3611060827,97228
23-Sep-2022,"2,737.60","2,755.70","2,667.00","2,737.60","2,681.80","2,672.45","2,705.58",1226889,3319442745,81654
22-Sep-2022,"2,660.00","2,744.95","2,650.00","2,666.65","2,741.00","2,737.60","2,702.28",1352472,3654758910,91491
21-Sep-2022,"2,688.00","2,700.00","2,656.65","2,684.00","2,665.75","2,666.65","2,676.36",1052572,2817063874,72065
20-Sep-2022,"2,642.20","2,693.55","2,635.10","2,619.80","2,680.00","2,684.00","2,679.32",844553,2262826510,53444
19-Sep-2022,"2,611.75","2,632.00","2,552.55","2,611.80","2,627.80","2,619.80","2,600.29",808421,2102125442,70444
16-Sep-2022,"2,648.00","2,677.65","2,604.25","2,656.15","2,618.00","2,611.80","2,628.26",1425731,3747185879,62234
15-Sep-2022,"2,714.15","2,717.00","2,648.00","2,700.60","2,662.00","2,656.15","2,672.24",753648,2013925273,54825
14-Sep-2022,"2,645.00","2,712.00","2,645.00","2,705.55","2,703.00","2,700.60","2,696.94",915281,2468455405,60124
13-Sep-2022,"2,680.00","2,723.00","2,672.00","2,661.15","2,703.00","2,705.55","2,706.85",1536444,4158926371,83248
12-Sep-2022,"2,616.80","2,669.70","2,610.00","2,603.45","2,668.00","2,661.15","2,645.70",808360,2138675818,72657
9-Sep-2022,"2,652.00","2,652.15","2,593.00","2,626.70","2,600.80","2,603.45","2,613.56",777186,2031220521,53658
8-Sep-2022,"2,649.00","2,659.90","2,616.00","2,637.75","2,629.00","2,626.70","2,635.36",754150,1987456396,52715
7-Sep-2022,"2,607.00","2,641.40","2,600.40","2,631.65","2,639.50","2,637.75","2,628.47",438635,1152937394,34296
6-Sep-2022,"2,631.70","2,646.90","2,611.00","2,627.35","2,623.45","2,631.65","2,629.70",680071,1788379662,47872
5-Sep-2022,"2,625.00","2,640.00","2,610.85","2,612.60","2,620.00","2,627.35","2,626.33",733481,1926359656,48394
2-Sep-2022,"2,631.00","2,645.00","2,607.05","2,622.00","2,615.00","2,612.60","2,627.94",800453,2103544514,63265
1-Sep-2022,"2,592.95","2,647.15","2,565.65","2,604.65","2,625.00","2,622.00","2,619.77",1438313,3768054304,100367
30-Aug-2022,"2,545.00","2,623.10","2,543.00","2,531.70","2,594.65","2,604.65","2,589.47",1794736,4647422654,89928
29-Aug-2022,"2,457.25","2,540.90","2,457.25","2,532.90","2,536.30","2,531.70","2,518.08",1149676,2894974784,81910
26-Aug-2022,"2,483.05","2,556.00","2,481.55","2,466.45","2,535.00","2,532.90","2,533.09",2398253,6074992319,122943
25-Aug-2022,"2,473.00","2,501.60","2,456.70","2,460.70","2,464.40","2,466.45","2,483.34",732577,1819240058,47753
24-Aug-2022,"2,495.00","2,495.00","2,441.05","2,480.20","2,458.00","2,460.70","2,460.48",672569,1654840132,45488
23-Aug-2022,"2,407.00","2,501.95","2,400.00","2,417.60","2,484.10","2,480.20","2,460.74",1417877,3489030666,87984
22-Aug-2022,"2,440.00","2,458.00","2,408.00","2,440.60","2,422.40","2,417.60","2,427.30",947292,2299357390,65745
19-Aug-2022,"2,498.95","2,498.95","2,430.90","2,478.70","2,439.30","2,440.60","2,457.34",751505,1846706908,60670
18-Aug-2022,"2,492.20","2,503.90","2,467.30","2,492.20","2,481.35","2,478.70","2,480.42",827663,2052953458,60317
17-Aug-2022,"2,495.00","2,523.15","2,480.65","2,493.85","2,486.00","2,492.20","2,499.05",863500,2157925616,62154
16-Aug-2022,"2,461.10","2,499.50","2,435.00","2,471.95","2,491.00","2,493.85","2,484.37",1035928,2573630502,61946
12-Aug-2022,"2,472.00","2,493.00","2,461.90","2,472.35","2,472.60","2,471.95","2,475.58",761420,1884958383,52758
11-Aug-2022,"2,446.20","2,486.00","2,446.20","2,433.60","2,468.40","2,472.35","2,472.90",1127878,2789127720,78302
10-Aug-2022,"2,469.90","2,469.90","2,417.10","2,446.95","2,426.85","2,433.60","2,431.69",1065998,2592174974,77419
8-Aug-2022,"2,460.00","2,474.70","2,433.15","2,432.80","2,447.50","2,446.95","2,449.11",1576547,3861143029,110355
5-Aug-2022,"2,425.20","2,472.40","2,417.35","2,423.65","2,428.00","2,432.80","2,442.47",2443597,5968418136,118932
4-Aug-2022,"2,429.95","2,430.45","2,370.95","2,416.40","2,416.55","2,423.65","2,406.25",1015590,2443763433,74549
3-Aug-2022,"2,395.00","2,425.90","2,355.00","2,384.95","2,418.75","2,416.40","2,382.52",1207016,2875744639,88794
2-Aug-2022,"2,370.00","2,397.80","2,357.05","2,376.25","2,381.00","2,384.95","2,382.73",777687,1853019321,60405
1-Aug-2022,"2,364.80","2,381.05","2,339.00","2,352.05","2,375.60","2,376.25","2,360.52",581266,1372089123,44301
29-Jul-2022,"2,355.00","2,392.50","2,339.05","2,334.65","2,355.00","2,352.05","2,364.14",1239445,2930225071,91870
28-Jul-2022,"2,321.00","2,341.50","2,305.05","2,303.55","2,330.50","2,334.65","2,328.27",1126799,2623488740,67384
27-Jul-2022,"2,285.10","2,311.00","2,266.55","2,293.20","2,305.00","2,303.55","2,294.95",1456382,3342320767,78656
26-Jul-2022,"2,334.95","2,334.95","2,286.55","2,328.85","2,291.00","2,293.20","2,308.15",1142159,2636273434,64769
25-Jul-2022,"2,339.30","2,348.80","2,313.00","2,325.00","2,325.00","2,328.85","2,330.54",1248393,2909428755,60220
22-Jul-2022,"2,299.00","2,329.95","2,283.10","2,288.60","2,324.00","2,325.00","2,319.24",1185176,2748710039,68206
21-Jul-2022,"2,285.00","2,298.00","2,264.00","2,271.20","2,289.00","2,288.60","2,278.34",1117118,2545174435,61617
20-Jul-2022,"2,280.00","2,298.00","2,261.10","2,241.20","2,269.00","2,271.20","2,282.68",1620332,3698699138,93549
19-Jul-2022,"2,232.50","2,253.00","2,216.70","2,237.45","2,236.00","2,241.20","2,236.69",867223,1939706890,47377
18-Jul-2022,"2,196.00","2,247.30","2,194.05","2,189.70","2,231.00","2,237.45","2,231.23",2016386,4499022003,86134
15-Jul-2022,"2,135.00","2,193.15","2,132.20","2,127.45","2,188.95","2,189.70","2,173.72",1742573,3787858268,69579
14-Jul-2022,"2,132.00","2,140.00","2,113.00","2,111.40","2,128.00","2,127.45","2,125.27",767221,1630549190,42086
13-Jul-2022,"2,130.00","2,141.80","2,107.45","2,130.00","2,114.00","2,111.40","2,122.24",1169721,2482430387,56836
12-Jul-2022,"2,132.00","2,142.00","2,114.45","2,163.60","2,131.00","2,130.00","2,130.32",1096542,2335987660,53839
11-Jul-2022,"2,153.00","2,173.85","2,126.60","2,144.35","2,155.65","2,163.60","2,160.11",1219508,2634272451,58556
8-Jul-2022,"2,140.00","2,154.00","2,110.50","2,127.50","2,143.00","2,144.35","2,135.31",2039331,4354609895,87152
7-Jul-2022,"2,130.00","2,171.60","2,102.55","2,013.55","2,129.95","2,127.50","2,131.30",5915740,12608232134,219221
6-Jul-2022,"1,958.00","2,025.50","1,941.35","1,954.25","2,020.00","2,013.55","1,986.09",1952701,3878235910,91660
5-Jul-2022,"1,967.00","1,989.10","1,940.55","1,962.50","1,958.00","1,954.25","1,969.36",1555345,3063028103,78971
4-Jul-2022,"1,954.00","1,966.60","1,928.00","1,946.20","1,961.00","1,962.50","1,952.37",1023678,1998599537,80119
1-Jul-2022,"1,895.00","1,954.35","1,825.05","1,941.25","1,944.75","1,946.20","1,901.69",4064801,7729981908,181278
30-Jun-2022,"1,950.00","1,965.75","1,926.00","1,936.15","1,930.75","1,941.25","1,946.07",2489709,4845135823,129143
29-Jun-2022,"1,950.00","1,954.30","1,923.00","1,968.05","1,936.00","1,936.15","1,933.09",2375427,4591908331,120667
28-Jun-2022,"2,020.00","2,022.00","1,960.00","2,040.30","1,970.20","1,968.05","1,970.62",3397585,6695340526,163512
27-Jun-2022,"2,082.00","2,083.65","2,025.00","2,045.60","2,045.00","2,040.30","2,046.74",1067849,2185611112,60089
24-Jun-2022,"2,053.55","2,076.40","2,033.95","2,041.40","2,046.15","2,045.60","2,046.73",854618,1749169686,61571
23-Jun-2022,"2,040.00","2,047.80","1,997.15","2,031.20","2,040.00","2,041.40","2,022.78",1632845,3302881610,128426
22-Jun-2022,"2,070.00","2,070.95","2,007.00","2,078.10","2,028.00","2,031.20","2,027.79",1507811,3057525660,119538
21-Jun-2022,"1,979.90","2,093.75","1,966.50","1,961.70","2,079.95","2,078.10","2,058.38",3289922,6771902844,148907
20-Jun-2022,"1,938.00","1,973.45","1,905.45","1,936.45","1,966.90","1,961.70","1,944.16",1967950,3826001837,103825
17-Jun-2022,"2,041.00","2,051.65","1,910.55","2,060.95","1,935.45","1,936.45","1,953.95",6066708,11854052378,332659
16-Jun-2022,"2,126.40","2,145.00","2,042.05","2,105.05","2,059.00","2,060.95","2,080.50",1265289,2632429400,119716
15-Jun-2022,"2,104.00","2,127.50","2,090.00","2,102.00","2,100.00","2,105.05","2,109.32",783714,1653103326,76479
14-Jun-2022,"2,100.00","2,116.90","2,072.65","2,102.40","2,104.00","2,102.00","2,098.72",893733,1875692084,87924
13-Jun-2022,"2,108.00","2,124.45","2,076.20","2,142.25","2,104.60","2,102.40","2,098.73",928411,1948484419,90153
10-Jun-2022,"2,108.00","2,166.00","2,108.00","2,139.70","2,142.70","2,142.25","2,145.62",927889,1990900236,52209
9-Jun-2022,"2,106.00","2,154.00","2,103.00","2,128.85","2,138.35","2,139.70","2,134.47",1035771,2210823973,54790
8-Jun-2022,"2,106.05","2,133.00","2,096.55","2,100.80","2,130.00","2,128.85","2,118.39",1775344,3760874080,89459
7-Jun-2022,"2,173.55","2,179.45","2,088.00","2,198.55","2,100.05","2,100.80","2,104.29",3255286,6850076543,145884
6-Jun-2022,"2,204.40","2,208.95","2,165.95","2,204.40","2,198.00","2,198.55","2,184.18",1285097,2806889353,42127
3-Jun-2022,"2,231.65","2,244.95","2,197.75","2,220.95","2,212.00","2,204.40","2,220.72",1228695,2728593267,43430
2-Jun-2022,"2,176.60","2,225.35","2,176.60","2,197.60","2,225.00","2,220.95","2,207.55",966727,2134099610,52249
